# Program:featureCounts v1.4.6-p3; Command:"subread-1.4.6-p3-MacOSX-x86_64/bin/featureCounts" "-t" "gene" "-g" "ID" "-F" "GTF" "-T" "2" "-a" "annotation.gff" "-o" "counts.txt" "SRR10379721.bam" "SRR10379722.bam" "SRR10379724.bam" "SRR10379725.bam" "SRR10379726.bam" "SSR10379723.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379721.bam	SRR10379722.bam	SRR10379724.bam	SRR10379725.bam	SRR10379726.bam	SSR10379723.bam
gene-SAOUHSC_00001	CP000253.1	517	1878	+	1362	20678	17047	14120	19569	3990	13186
gene-SAOUHSC_00002	CP000253.1	2156	3289	+	1134	15976	12174	12125	15034	2119	11155
gene-SAOUHSC_00003	CP000253.1	3670	3915	+	246	1622	1213	1375	1016	126	874
gene-SAOUHSC_00004	CP000253.1	3912	5024	+	1113	13994	11418	7582	6709	839	9933
gene-SAOUHSC_00005	CP000253.1	5034	6968	+	1935	29539	26379	12046	12073	3492	24185
gene-SAOUHSC_00006	CP000253.1	7005	9668	+	2664	45169	33351	18910	12471	4001	32195
gene-SAOUHSC_00007	CP000253.1	9755	10456	-	702	7039	4917	3552	5008	1208	4753
gene-SAOUHSC_00008	CP000253.1	10893	12407	+	1515	3221	2562	1358	1972	311	2419
gene-SAOUHSC_00009	CP000253.1	12786	14072	+	1287	2467	1979	40247	77893	13348	1432
gene-SAOUHSC_00010	CP000253.1	14722	15417	+	696	353	302	2154	4633	273	274
gene-SAOUHSC_00012	CP000253.1	15414	15743	+	330	210	175	1161	2752	299	171
gene-SAOUHSC_00013	CP000253.1	16106	17074	+	969	1351	1315	4711	8955	1895	999
gene-SAOUHSC_00014	CP000253.1	17365	18303	+	939	4655	3433	7026	8905	1176	3543
gene-SAOUHSC_00015	CP000253.1	18318	20285	+	1968	25865	21834	20876	25792	5822	22438
gene-SAOUHSC_00017	CP000253.1	20282	20734	+	453	6389	5531	5238	6496	1042	5664
gene-SAOUHSC_00018	CP000253.1	20766	22166	+	1401	11773	10372	14311	19500	6291	8760
gene-SAOUHSC_00019	CP000253.1	22444	23727	+	1284	7007	6279	8575	5225	3218	6876
gene-SAOUHSC_T00018	CP000253.1	24157	24231	+	75	86	42	47	7	130	38
gene-SAOUHSC_T00011	CP000253.1	24239	24311	+	73	370	361	229	31	200	159
gene-SAOUHSC_00020	CP000253.1	24931	25632	+	702	3874	3551	3918	5993	921	2698
gene-SAOUHSC_00021	CP000253.1	25645	27471	+	1827	12378	10600	11363	13107	6165	8368
gene-SAOUHSC_00022	CP000253.1	27515	28798	+	1284	12999	11016	10257	12036	1989	9137
gene-SAOUHSC_00023	CP000253.1	28799	29587	+	789	9543	7827	6826	8127	2075	7311
gene-SAOUHSC_00024	CP000253.1	29977	30777	+	801	2795	1710	1344	1082	373	1851
gene-SAOUHSC_00025	CP000253.1	31005	33323	+	2319	2873	2071	1241	1550	675	2138
gene-SAOUHSC_00026	CP000253.1	33555	34034	-	480	105	50	17	21	2	114
gene-SAOUHSC_00027	CP000253.1	33691	34170	+	480	378	330	324	527	146	288
gene-SAOUHSC_00028	CP000253.1	34375	34509	-	135	12	17	30	40	7	12
gene-SAOUHSC_00029	CP000253.1	34473	34565	+	93	1	3	18	9	3	7
gene-SAOUHSC_00030	CP000253.1	34712	36457	+	1746	1582	1159	2385	3944	296	1334
gene-SAOUHSC_00031	CP000253.1	36551	37003	-	453	28563	18112	2106	2327	325	29748
gene-SAOUHSC_00032	CP000253.1	37019	37120	-	102	57	28	22	40	18	128
gene-SAOUHSC_00033	CP000253.1	37218	37973	-	756	14292	9538	1466	1161	149	16213
gene-SAOUHSC_00034	CP000253.1	37973	38233	-	261	3690	2781	332	323	20	3282
gene-SAOUHSC_00035	CP000253.1	38370	39437	+	1068	24767	16411	1015	473	39	25479
gene-SAOUHSC_00036	CP000253.1	39468	40802	+	1335	46774	32714	2067	1140	283	48401
gene-SAOUHSC_00037	CP000253.1	40821	42014	+	1194	45173	29474	8533	8156	3304	42561
gene-SAOUHSC_00038	CP000253.1	42281	42382	-	102	384	302	228	164	21	274
gene-SAOUHSC_00039	CP000253.1	42681	43613	-	933	4202	3781	3478	4314	2013	3012
gene-SAOUHSC_00040	CP000253.1	43976	44179	+	204	40	30	33	51	6	38
gene-SAOUHSC_00041	CP000253.1	44228	44524	+	297	753	581	455	635	68	581
gene-SAOUHSC_00042	CP000253.1	44596	45816	-	1221	1965	1403	1005	1112	140	1598
gene-SAOUHSC_00043	CP000253.1	45809	46360	-	552	782	540	268	223	33	618
