# Program:featureCounts v1.4.6-p3; Command:"../subread-1.4.6-p3-MacOSX-x86_64/bin/featureCounts" "-t" "gene" "-g" "ID" "-F" "GTF" "-s" "1" "-T" "2" "-a" "../annotation.gff" "-o" "counts_final.txt" "SRR10379721.bam" "SRR10379722.bam" "SRR10379724.bam" "SRR10379725.bam" "SRR10379726.bam" "SSR10379723.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379721.bam	SRR10379722.bam	SRR10379724.bam	SRR10379725.bam	SRR10379726.bam	SSR10379723.bam
gene-SAOUHSC_00001	CP000253.1	517	1878	+	1362	20274	16815	13963	19411	3941	12918
gene-SAOUHSC_00002	CP000253.1	2156	3289	+	1134	15764	12014	11920	14852	2074	11021
gene-SAOUHSC_00003	CP000253.1	3670	3915	+	246	1563	1188	1316	966	120	823
gene-SAOUHSC_00004	CP000253.1	3912	5024	+	1113	13756	11316	7511	6652	838	9790
gene-SAOUHSC_00005	CP000253.1	5034	6968	+	1935	29311	26237	12009	12058	3489	24022
gene-SAOUHSC_00006	CP000253.1	7005	9668	+	2664	44453	32816	18724	12298	3969	31606
gene-SAOUHSC_00007	CP000253.1	9755	10456	-	702	6826	4724	3491	4979	1203	4597
gene-SAOUHSC_00008	CP000253.1	10893	12407	+	1515	2698	2247	1183	1843	293	2073
gene-SAOUHSC_00009	CP000253.1	12786	14072	+	1287	2193	1836	40144	77817	13343	1231
gene-SAOUHSC_00010	CP000253.1	14722	15417	+	696	180	160	2079	4572	264	131
gene-SAOUHSC_00012	CP000253.1	15414	15743	+	330	156	135	1141	2740	294	125
gene-SAOUHSC_00013	CP000253.1	16106	17074	+	969	1065	1123	4541	8794	1869	814
gene-SAOUHSC_00014	CP000253.1	17365	18303	+	939	4446	3339	6863	8752	1160	3393
gene-SAOUHSC_00015	CP000253.1	18318	20285	+	1968	25516	21658	20768	25714	5807	22208
gene-SAOUHSC_00017	CP000253.1	20282	20734	+	453	6336	5503	5227	6490	1042	5626
gene-SAOUHSC_00018	CP000253.1	20766	22166	+	1401	11558	10260	14270	19467	6288	8628
gene-SAOUHSC_00019	CP000253.1	22444	23727	+	1284	6812	6149	8514	5185	3211	6752
gene-SAOUHSC_T00018	CP000253.1	24157	24231	+	75	86	42	47	7	130	38
gene-SAOUHSC_T00011	CP000253.1	24239	24311	+	73	369	312	229	31	200	158
gene-SAOUHSC_00020	CP000253.1	24931	25632	+	702	3652	3433	3872	5961	917	2550
gene-SAOUHSC_00021	CP000253.1	25645	27471	+	1827	11930	10337	11274	13059	6156	8060
gene-SAOUHSC_00022	CP000253.1	27515	28798	+	1284	12712	10830	10214	12005	1984	8932
